TaskID,Description,AssignedEmployees,Advisors,PrecedingTasks,StoryPoints,StartTime,EstimatedFinishTime,Status,ActualFinishTime
TSK-514F6016,Designing and implementing backup and disaster recovery plan,22,"9,35","TSK-54F9521F,TSK-41ECEB44",8,2025-03-15,2025-03-19,Planned,
TSK-991E6E11,Reviewing and improving security measures,"35,11",2,,5,2025-03-20,2025-03-23,Planned,
TSK-DA566BCB,Maintenance and regular update of the application,"14,29","2,6",,5,2025-03-17,2025-03-20,Planned,
TSK-795E9201,Setting up the server environment,"36,18,14","17,21",,8,2025-03-03 00:00:00,2025-03-10 00:00:00,Planned,
TSK-10847035,Configuring network settings for server,16,"31,10",,5,2025-03-03 00:00:00,2025-03-07 00:00:00,Planned,
TSK-1B43CB90,Installing the necessary software on server,"35,19",25,,6,2025-03-01 00:00:00,2025-03-06 00:00:00,Planned,
TSK-A0CCA417,Setting up the server’s firewall and security settings,"7,1",27,,7,2025-03-02 00:00:00,2025-03-08 00:00:00,Planned,
TSK-AE8CFDEC,Creating user accounts for project team,"31,6,4","2,29",,3,2025-03-04 00:00:00,2025-03-06 00:00:00,Planned,
TSK-FD3B1EFF,Testing server accessibility and network connectivity,"17,15,30","31,34",TSK-AE8CFDEC,4,2025-03-02 00:00:00,2025-03-05 00:00:00,Planned,
TSK-39885F7F,Setting up backup and recovery processes,"10,6",9,TSK-AE8CFDEC,8,2025-03-04 00:00:00,2025-03-11 00:00:00,Planned,
TSK-4A3587C9,Setting up the version control system,"26,22","34,3","TSK-1B43CB90,TSK-AE8CFDEC,TSK-A0CCA417",5,2025-03-04 00:00:00,2025-03-08 00:00:00,Planned,
TSK-0115FED3,Configuring the build and deployment pipelines,"2,20,13",9,,10,2025-03-06 00:00:00,2025-03-15 00:00:00,Planned,
TSK-CB292DC1,Setting up continuous integration/continuous deployment (CI/CD) tools,17,1,,9,2025-03-04 00:00:00,2025-03-12 00:00:00,Planned,
TSK-F7E19B69,Setting up the logging and monitoring system,"29,8","13,17","TSK-AE8CFDEC,TSK-0115FED3,TSK-A0CCA417,TSK-CB292DC1",7,2025-03-09 00:00:00,2025-03-15 00:00:00,Planned,
TSK-3D21853C,Setting up the incident alert system,"28,20","23,29","TSK-AE8CFDEC,TSK-4A3587C9,TSK-F7E19B69,TSK-FD3B1EFF",6,2025-03-06 00:00:00,2025-03-11 00:00:00,Planned,
TSK-FEA63216,Creating documentation for the setup process,"4,20","12,3","TSK-1B43CB90,TSK-F7E19B69,TSK-A0CCA417",4,2025-03-08 00:00:00,2025-03-11 00:00:00,Planned,
TSK-736E3B28,Training the team on the new system and processes,33,13,,6,2025-03-07 00:00:00,2025-03-12 00:00:00,Planned,
TSK-2179FF75,Performing a security audit of the server,3,23,"TSK-736E3B28,TSK-FD3B1EFF",7,2025-03-10 00:00:00,2025-03-16 00:00:00,Planned,
TSK-1FE396B7,Setting up a staging environment,"8,27,30",9,"TSK-AE8CFDEC,TSK-1B43CB90,TSK-736E3B28,TSK-F7E19B69",8,2025-03-09 00:00:00,2025-03-16 00:00:00,Planned,
TSK-DC3ED3E2,Setting up a production environment,23,"4,8",TSK-0115FED3,10,2025-03-10 00:00:00,2025-03-19 00:00:00,Planned,
TSK-2970AC03,Performing a stress test on the server,"6,11,29","36,4",,7,2025-03-13 00:00:00,2025-03-19 00:00:00,Planned,
TSK-E2842052,Performing a performance test on the server,"4,36",15,TSK-10847035,7,2025-03-09 00:00:00,2025-03-15 00:00:00,Planned,
TSK-1A209469,Setting up database replication,"13,24",22,TSK-795E9201,9,2025-03-11 00:00:00,2025-03-19 00:00:00,Planned,
TSK-977CB080,Setting up automatic database backup,28,"17,20",TSK-E2842052,8,2025-03-14 00:00:00,2025-03-21 00:00:00,Planned,
TSK-FBED5511,Configure DNS settings for the server,35,29,TSK-1B43CB90,4,2025-03-10 00:00:00,2025-03-13 00:00:00,Planned,
TSK-B3B5A8F6,Implementing load balancing for the server,"2,1,27","19,10",,11,2025-03-13 00:00:00,2025-03-23 00:00:00,Planned,
TSK-C4D5CB75,Configuring SSL for secure communication,5,"15,20",,6,2025-03-13 00:00:00,2025-03-18 00:00:00,Planned,
TSK-FB3E490E,Configuring caching for the server,32,"11,26","TSK-1B43CB90,TSK-B3B5A8F6",7,2025-03-11 00:00:00,2025-03-17 00:00:00,Planned,
TSK-F51C17B5,Setting up API endpoints,"29,27,25","13,31","TSK-C4D5CB75,TSK-FB3E490E,TSK-1FE396B7",8,2025-03-12 00:00:00,2025-03-19 00:00:00,Planned,
TSK-93F18D57,Setting up a test environment for QA,35,9,"TSK-977CB080,TSK-10847035,TSK-1A209469",6,2025-03-12 00:00:00,2025-03-17 00:00:00,Planned,
TSK-0AEE35B2,Setting up automated testing tools,7,"8,21","TSK-F51C17B5,TSK-AE8CFDEC",8,2025-03-13 00:00:00,2025-03-20 00:00:00,Planned,
TSK-BE9555AC,Setting up a system for tracking software bugs,28,"8,32","TSK-1FE396B7,TSK-F51C17B5,TSK-CB292DC1,TSK-10847035",5,2025-03-16 00:00:00,2025-03-20 00:00:00,Planned,
TSK-BBA87B09,Configuring server for scalability,33,27,,9,2025-03-18 00:00:00,2025-03-26 00:00:00,Planned,
TSK-FAAA4D51,"Conduct initial data analysis to identify data types, data volume, and data anomalies",32,"19,11",,3,2025-03-01 00:00:00,2025-03-04 00:00:00,Planned,
TSK-EBA1C369,Design preliminary data migration strategy,24,"3,12",,3,2025-03-03 00:00:00,2025-03-05 00:00:00,Planned,
TSK-42E44473,Identify data dependencies within the existing system,"28,6,36","30,9",,5,2025-03-01 00:00:00,2025-03-04 00:00:00,Planned,
TSK-F567DBE1,Design the schema for the new system based on data analysis outcomes,"4,35,26","24,30",,8,2025-03-01 00:00:00,2025-03-06 00:00:00,Planned,
TSK-5A434477,Develop initial data transformation plan based on schema design,"32,1",18,,5,2025-03-04 00:00:00,2025-03-07 00:00:00,Planned,
TSK-A0500206,Create an ETL pipeline for the initial batch of data,"30,25","4,27",TSK-5A434477,8,2025-03-03 00:00:00,2025-03-08 00:00:00,Planned,
TSK-8CD3CA3E,Test the ETL pipeline on a subset of data,"13,21","3,6","TSK-F567DBE1,TSK-FAAA4D51,TSK-EBA1C369,TSK-A0500206",5,2025-03-06 00:00:00,2025-03-09 00:00:00,Planned,
TSK-7E9F09A9,Refine ETL pipeline based on test results,"1,31","15,10","TSK-FAAA4D51,TSK-42E44473,TSK-A0500206",5,2025-03-05 00:00:00,2025-03-07 00:00:00,Planned,
TSK-0985DBA9,Develop a data validation plan,15,"16,20","TSK-5A434477,TSK-7E9F09A9",2,2025-03-07 00:00:00,2025-03-09 00:00:00,Planned,
TSK-FBD87AD9,Implement data validation checks in the ETL pipeline,11,"28,7","TSK-7E9F09A9,TSK-5A434477,TSK-FAAA4D51",8,2025-03-07 00:00:00,2025-03-11 00:00:00,Planned,
TSK-B03EF789,Perform full data migration dry run,23,"3,5","TSK-42E44473,TSK-F567DBE1,TSK-A0500206,TSK-5A434477",13,2025-03-07 00:00:00,2025-03-14 00:00:00,Planned,
TSK-DFB54467,Analyze dry run results and make necessary adjustments,"25,1","34,16","TSK-F567DBE1,TSK-7E9F09A9",5,2025-03-08 00:00:00,2025-03-11 00:00:00,Planned,
TSK-89754CBF,Develop rollback strategy in case of migration failure,"22,5","2,27","TSK-B03EF789,TSK-42E44473",3,2025-03-06 00:00:00,2025-03-08 00:00:00,Planned,
TSK-C2D38D23,Create a data migration cutover plan,"23,32",21,"TSK-DFB54467,TSK-B03EF789,TSK-FBD87AD9",2,2025-03-08 00:00:00,2025-03-09 00:00:00,Planned,
TSK-0E209EFC,Prepare the system for data migration cutover,"28,36,4","32,30","TSK-B03EF789,TSK-A0500206,TSK-0985DBA9",3,2025-03-11 00:00:00,2025-03-13 00:00:00,Planned,
TSK-2F459E7F,Execute data migration cutover,"5,23,26",29,,13,2025-03-11 00:00:00,2025-03-18 00:00:00,Planned,
TSK-0885F3E9,Perform post-migration data validation,"7,18",5,,8,2025-03-13 00:00:00,2025-03-17 00:00:00,Planned,
TSK-89BBB564,Refine ETL processes based on post-migration validation results,"33,30,16",3,"TSK-C2D38D23,TSK-FAAA4D51",8,2025-03-10 00:00:00,2025-03-14 00:00:00,Planned,
TSK-29CE08AD,Update data dictionary and data models,"17,22,36","32,2","TSK-5A434477,TSK-89BBB564,TSK-C2D38D23",2,2025-03-12 00:00:00,2025-03-14 00:00:00,Planned,
TSK-89806FDF,Create and execute a plan for ongoing data quality checks,"25,27,29","30,14","TSK-29CE08AD,TSK-7E9F09A9,TSK-8CD3CA3E",8,2025-03-13 00:00:00,2025-03-17 00:00:00,Planned,
TSK-5D974201,Conduct a final review of data migration and provide a comprehensive report,"34,22,15","36,35","TSK-2F459E7F,TSK-7E9F09A9,TSK-89BBB564,TSK-FBD87AD9",3,2025-03-13 00:00:00,2025-03-15 00:00:00,Planned,
TSK-1AA8BEAF,Develop training materials for the new system,15,"17,2",,2,2025-03-11 00:00:00,2025-03-13 00:00:00,Planned,
TSK-46138F7D,Provide training to end-users on the new system,20,16,"TSK-DFB54467,TSK-FBD87AD9",2,2025-03-12 00:00:00,2025-03-15 00:00:00,Planned,
TSK-B600DD62,Create a plan for incremental data updates,"6,14,34","8,7","TSK-B03EF789,TSK-29CE08AD",5,2025-03-14 00:00:00,2025-03-17 00:00:00,Planned,
TSK-19A45EE8,Monitor system performance after migration,20,2,,2,2025-03-15 00:00:00,2025-03-22 00:00:00,Planned,
TSK-E2E87C0B,Identify and fix any data discrepancies,"27,20",32,"TSK-C2D38D23,TSK-F567DBE1",5,2025-03-17 00:00:00,2025-03-20 00:00:00,Planned,
TSK-3941DB43,Develop a plan for ongoing data management,"9,32",10,TSK-A0500206,3,2025-03-14 00:00:00,2025-03-16 00:00:00,Planned,
TSK-D5031D4A,Create documentation for new data and system architecture,"9,6","33,22","TSK-B600DD62,TSK-DFB54467,TSK-89754CBF,TSK-29CE08AD",2,2025-03-16 00:00:00,2025-03-18 00:00:00,Planned,
TSK-91119F5B,Develop and implement a plan for system backup and recovery,"5,11,10",1,,5,2025-03-18 00:00:00,2025-03-21 00:00:00,Planned,
TSK-C440EB07,Perform user acceptance testing and gather feedback,8,"24,20","TSK-3941DB43,TSK-19A45EE8,TSK-FBD87AD9",3,2025-03-16 00:00:00,2025-03-18 00:00:00,Planned,
